Customer ID,Count,Quarter,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason
8779-QRDMV,1,Q3,3,Churned,Yes,1,91,5433,Competitor,Competitor offered more data
7495-OOKFY,1,Q3,3,Churned,Yes,1,69,5302,Competitor,Competitor made better offer
1658-BYGOY,1,Q3,2,Churned,Yes,1,81,3179,Competitor,Competitor made better offer
4598-XLKNJ,1,Q3,2,Churned,Yes,1,88,5337,Dissatisfaction,Limited range of services
4846-WHAFZ,1,Q3,2,Churned,Yes,1,67,2793,Price,Extra data charges
4412-YLTKF,1,Q3,1,Churned,Yes,1,95,4638,Competitor,Competitor had better devices
0390-DCFDQ,1,Q3,2,Churned,Yes,1,76,3964,Other,Don't know
3445-HXXGF,1,Q3,1,Churned,Yes,1,91,5444,Dissatisfaction,Service dissatisfaction
2656-FMOKZ,1,Q3,2,Churned,Yes,1,91,5717,Dissatisfaction,Limited range of services
2070-FNEXE,1,Q3,2,Churned,Yes,1,81,4419,Price,Lack of affordable download/upload speed
0094-OIFMO,1,Q3,1,Churned,Yes,1,85,5980,Dissatisfaction,Product dissatisfaction
9947-OTFQU,1,Q3,1,Churned,Yes,1,86,4616,Competitor,Competitor had better devices
9514-JDSKI,1,Q3,2,Churned,Yes,1,65,5828,Dissatisfaction,Limited range of services
7273-TEFQD,1,Q3,2,Churned,Yes,1,96,2314,Price,Long distance charges
3606-TWKGI,1,Q3,1,Churned,Yes,1,84,2494,Competitor,Competitor had better devices
4385-GZQXV,1,Q3,1,Churned,Yes,1,81,3810,Competitor,Competitor had better devices
3488-PGMQJ,1,Q3,2,Churned,Yes,1,80,4345,Dissatisfaction,Poor expertise of online support
7534-BFESC,1,Q3,2,Churned,Yes,1,91,2018,Competitor,Competitor made better offer
8098-LLAZX,1,Q3,3,Churned,Yes,1,85,3677,Competitor,Competitor made better offer
0265-EDXBD,1,Q3,2,Churned,Yes,1,69,4105,Attitude,Attitude of support person
2840-XANRC,1,Q3,2,Churned,Yes,1,73,2212,Competitor,Competitor made better offer
5020-ZSTTY,1,Q3,1,Churned,Yes,1,83,4149,Competitor,Competitor made better offer
5804-LEPIM,1,Q3,3,Churned,Yes,1,73,2671,Other,Don't know
0623-IIHUG,1,Q3,1,Churned,Yes,1,90,4778,Competitor,Competitor made better offer
9057-MSWCO,1,Q3,1,Churned,Yes,1,91,2927,Competitor,Competitor made better offer
4895-TMWIR,1,Q3,1,Churned,Yes,1,80,5888,Competitor,Competitor made better offer
0533-BNWKF,1,Q3,1,Churned,Yes,1,91,5502,Competitor,Competitor made better offer
0334-GDDSO,1,Q3,1,Churned,Yes,1,73,2818,Competitor,Competitor made better offer
5564-NEMQO,1,Q3,2,Churned,Yes,1,67,4902,Dissatisfaction,Network reliability
6235-VDHOM,1,Q3,2,Churned,Yes,1,89,4099,Dissatisfaction,Limited range of services
5609-CEBID,1,Q3,1,Churned,Yes,1,87,2666,Competitor,Competitor had better devices
5956-VKDTT,1,Q3,1,Churned,Yes,1,82,5273,Dissatisfaction,Product dissatisfaction
0257-ZESQC,1,Q3,1,Churned,Yes,1,91,4517,Attitude,Attitude of support person
2865-TCHJW,1,Q3,1,Churned,Yes,1,74,5808,Competitor,Competitor had better devices
5192-EBGOV,1,Q3,1,Churned,Yes,1,66,4880,Competitor,Competitor had better devices
3419-SNJJD,1,Q3,1,Churned,Yes,1,91,4196,Attitude,Attitude of support person
4554-YGZIH,1,Q3,2,Churned,Yes,1,96,5059,Competitor,Competitor made better offer
5099-BAILX,1,Q3,2,Churned,Yes,1,65,2728,Competitor,Competitor made better offer
4913-EHYUI,1,Q3,1,Churned,Yes,1,91,6268,Competitor,Competitor offered higher download speeds
1626-ERCMM,1,Q3,1,Churned,Yes,1,84,5604,Competitor,Competitor had better devices
5644-PDMZC,1,Q3,2,Churned,Yes,1,80,2065,Attitude,Attitude of support person
4160-AMJTL,1,Q3,2,Churned,Yes,1,83,5432,Attitude,Attitude of support person
0823-HSCDJ,1,Q3,2,Churned,Yes,1,90,5597,Competitor,Competitor made better offer
0067-DKWBL,1,Q3,2,Churned,Yes,1,95,3475,Competitor,Competitor made better offer
5244-IRFIH,1,Q3,3,Churned,Yes,1,91,4333,Other,Poor expertise of online support
2684-EIWEO,1,Q3,1,Churned,Yes,1,90,2482,Competitor,Competitor made better offer
6683-VLCTZ,1,Q3,3,Churned,Yes,1,92,5444,Competitor,Competitor made better offer
0691-IFBQW,1,Q3,1,Churned,Yes,1,81,2403,Competitor,Competitor made better offer
3643-AHCFP,1,Q3,3,Churned,Yes,1,83,3265,Competitor,Competitor made better offer
9231-ZJYAM,1,Q3,3,Churned,Yes,1,72,5301,Other,Moved
0727-BMPLR,1,Q3,3,Churned,Yes,1,83,5679,Competitor,Competitor offered higher download speeds
0947-MUGVO,1,Q3,1,Churned,Yes,1,95,5849,Competitor,Competitor had better devices
0781-LKXBR,1,Q3,1,Churned,Yes,1,70,4038,Competitor,Competitor had better devices
1907-UBQFC,1,Q3,1,Churned,Yes,1,91,3189,Competitor,Competitor had better devices
6513-EECDB,1,Q3,2,Churned,Yes,1,94,4369,Price,Price too high
7074-IEVOJ,1,Q3,1,Churned,Yes,1,91,3501,Dissatisfaction,Product dissatisfaction
4750-ZRXIU,1,Q3,1,Churned,Yes,1,83,2467,Competitor,Competitor had better devices
7028-DVOIQ,1,Q3,1,Churned,Yes,1,82,2074,Other,Don't know
4208-UFFGW,1,Q3,2,Churned,Yes,1,84,5900,Other,Don't know
9889-TMAHG,1,Q3,1,Churned,Yes,1,74,5084,Competitor,Competitor had better devices
8919-FYFQZ,1,Q3,1,Churned,Yes,1,96,4829,Competitor,Competitor had better devices
6646-QVXLR,1,Q3,1,Churned,Yes,1,91,5052,Competitor,Competitor had better devices
