Customer ID,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,City,Zip Code,Latitude,Longitude,Population,Gender,Age,Married,Number of Dependents,Satisfaction Score,Customer Status,Churn Label,Churn Score,CLTV,Churn Category,Churn Reason
8779-QRDMV,0,1,None,No,0,No,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0,20,0,59.65,Los Angeles,90022,34.02381,-118.156582,68701,Male,78,No,0,3,Churned,Yes,91,5433,Competitor,Competitor offered more data
7495-OOKFY,1,8,Offer E,Yes,48.85,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,0,0,390.8,1024.1,Los Angeles,90063,34.044271,-118.185237,55668,Female,74,Yes,1,3,Churned,Yes,69,5302,Competitor,Competitor made better offer
1658-BYGOY,0,18,Offer D,Yes,11.33,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,Los Angeles,90065,34.108833,-118.229715,47534,Male,71,No,3,2,Churned,Yes,81,3179,Competitor,Competitor made better offer
4598-XLKNJ,1,25,Offer C,Yes,19.76,No,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,13.43,0,494,2995.07,Inglewood,90303,33.936291,-118.332639,27778,Female,78,Yes,1,2,Churned,Yes,88,5337,Dissatisfaction,Limited range of services
4846-WHAFZ,1,37,Offer C,Yes,6.33,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0,0,234.21,3102.36,Whittier,90602,33.972119,-118.020188,26265,Female,80,Yes,1,2,Churned,Yes,67,2793,Price,Extra data charges
4412-YLTKF,0,27,Offer C,Yes,3.33,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,0,10,89.91,2235.41,Pico Rivera,90660,33.989524,-118.089299,63288,Female,72,No,1,1,Churned,Yes,95,4638,Competitor,Competitor had better devices
0390-DCFDQ,1,1,Offer E,Yes,15.28,No,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0,0,15.28,85.73,Los Alamitos,90720,33.79499,-118.065591,21343,Female,76,Yes,2,2,Churned,Yes,76,3964,Other,Don't know
3445-HXXGF,6,58,Offer B,No,0,No,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0,0,2610.25,Sierra Madre,91024,34.168686,-118.057505,10558,Male,66,Yes,0,1,Churned,Yes,91,5444,Dissatisfaction,Service dissatisfaction
2656-FMOKZ,0,15,Offer D,Yes,44.07,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,0,0,661.05,1806.75,Pasadena,91106,34.139402,-118.128658,23742,Female,70,No,2,2,Churned,Yes,91,5717,Dissatisfaction,Limited range of services
2070-FNEXE,0,7,Offer E,Yes,26.95,No,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,11.05,0,188.65,681.2,Pasadena,91107,34.159007,-118.087353,32369,Female,77,No,2,2,Churned,Yes,81,4419,Price,Lack of affordable download/upload speed
0094-OIFMO,0,11,Offer D,Yes,11.59,No,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95,1120.3,0,120,127.49,1367.79,North Hollywood,91605,34.207295,-118.400022,57146,Female,78,No,1,1,Churned,Yes,85,5980,Dissatisfaction,Product dissatisfaction
9947-OTFQU,0,15,Offer D,Yes,29.11,No,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0,0,436.65,1510.95,Covina,91722,34.097345,-117.906736,33817,Male,65,No,0,1,Churned,Yes,86,4616,Competitor,Competitor had better devices
9514-JDSKI,1,1,Offer E,No,0,No,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0,0,0,40.2,El Monte,91732,34.074492,-118.01462,62660,Male,77,Yes,0,2,Churned,Yes,65,5828,Dissatisfaction,Limited range of services
7273-TEFQD,0,3,Offer E,No,0,No,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0,0,0,132.2,La Puente,91746,34.038983,-117.991372,30802,Male,67,No,0,2,Churned,Yes,96,2314,Price,Long distance charges
3606-TWKGI,0,13,Offer D,Yes,32.68,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0,10,424.84,1799.14,Rowland Heights,91748,33.976753,-117.897367,46342,Male,68,No,0,1,Churned,Yes,84,2494,Competitor,Competitor had better devices
4385-GZQXV,0,16,Offer D,Yes,9.43,No,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0,0,150.88,1662.08,Ontario,91764,34.074087,-117.605618,49474,Female,68,No,0,1,Churned,Yes,81,3810,Competitor,Competitor had better devices
